model,rae,spearman,kendall,r2,mae,te_std
lgbm_base,0.6904265738565217,0.7253681999370312,0.5222347597757963,0.4256351069953258,0.5514180512479386,0.6493752669136981
lgbm_bindingdb,0.6904265738565217,0.7253681999370312,0.5222347597757963,0.4256351069953258,0.5514180512479386,0.6493752669136981
oof_lgbm_chembl_pxr_direct,0.6904876767547873,0.7200773034465681,0.5141351764862168,0.43236337979254913,0.5514668518624617,0.6386058830004355
oof_pseudo_label,0.6925243783667643,0.7059163746044459,0.507416917478581,0.40643343043033686,0.5530934897648482,0.6494306653056406
nb303_dann,0.6931053413000008,0.7402423623746814,0.542012811994537,0.4821537389519007,0.5535574832735325,0.7525179982185364
nb286_clean_v2,0.6939020301424328,0.7194911031426742,0.5191977111840238,0.4359819729787491,0.5541937690504414,0.6378668427856915
nb131_pseudo_label,0.693921164363641,0.707587008517296,0.5106190783139961,0.37279901097017465,0.5542090508419747,0.6170131148744703
grand23,0.6956106278103421,0.7164233243717117,0.5188442365382978,0.46013667641488787,0.5555583625236369,0.6310139387689292
oof_free_wilson,0.6970052492754975,0.7136915470730993,0.5157676506376049,0.4177370976158419,0.5566721948697022,0.6570803330914304
grand18,0.6972014408396037,0.7164092449552805,0.519032598940381,0.4549671833477763,0.5568288857823165,0.6396138602840157
nb315_v1_nb107_enh,0.697666506831105,0.7320114614268075,0.530522705467459,0.44619327391859365,0.5572003167098704,0.6410609226014526
nb100_emax_corrected,0.6996522268017217,0.7129090279282914,0.5182791493320481,0.4033587680604397,0.5587862374695616,0.6083317297256093
nb315_v3_nb117_enh,0.7006328787425609,0.7234359852873278,0.5200371984181584,0.3947275200611642,0.5595694477378883,0.5869496617424448
nb93_chemprop_large_gpu,0.7017965200807301,0.7470894048917515,0.5466590845792569,0.442281087060575,0.5604988048387611,0.7050620393637008
nb130_struct_ext,0.7028828874707266,0.7027829083641279,0.5082725205024395,0.4014923712415911,0.5613664461083969,0.6155153870921878
oof_tox21_bio_fp,0.7033621806306365,0.7113476947482625,0.5106818657813572,0.40474304357581337,0.5617492397467381,0.638442367741061
oof_smiles_aug,0.7034397806581637,0.7166126029711579,0.5183186728533216,0.40970638290690986,0.5618112160054398,0.6562702088326596
oof_3d_shape_conformer,0.7040374088317652,0.7113747420482488,0.5084843044237194,0.4121850841497795,0.5622885194223948,0.6390715521312185
aug_lgbm_ext,0.704843919478304,0.7131065102692868,0.5040891817084436,0.42580821577674144,0.5629326495093077,0.6580947007406797
oof_lgbm_cliff_aware_external,0.7056941041229748,0.7048807418010085,0.5067655976498072,0.39303686262639126,0.56361166039579,0.6195208535453253
oof_bio_nr_fingerprint,0.705757835210781,0.7010471195850014,0.5018916203508058,0.40259211223751723,0.5636625600476467,0.6492235625627764
lgbm_cliff_oversample,0.7070442903174783,0.6930437123657791,0.49404318693067056,0.411031496281857,0.5646900039422098,0.6821043738684576
nb267_quantile,0.7084986491417974,0.7166074683181936,0.5154537133007995,0.3844702775148193,0.5658515462974552,0.577177139304479
nb319_ood_blend,0.7092895781224168,0.726224080251665,0.524369533666073,0.43182247652716765,0.5664832318867461,0.5340971008363763
oof_lgbm_pubchem_pxr_fixed,0.7095379394975665,0.709043857606967,0.5100539911077464,0.4041882896134452,0.5666815888890343,0.6538266274473706
oof_lgbm_full_metrics_baseline,0.7095379394975665,0.709043857606967,0.5100539911077464,0.4041882896134452,0.5666815888890343,0.6538266274473706
oof_3d_shape,0.7095379394975665,0.709043857606967,0.5100539911077464,0.4041882896134452,0.5666815888890343,0.6538266274473706
oof_lgbm_counter_soft,0.7095379394975665,0.709043857606967,0.5100539911077464,0.4041882896134452,0.5666815888890343,0.6538266274473706
oof_multitask_lgbm_heads,0.7095379394975665,0.709043857606967,0.5100539911077464,0.4041882896134452,0.5666815888890343,0.6538266274473706
nb276_combined,0.7099674991861777,0.7123265847011898,0.5082959420216362,0.4068924806859263,0.5670246622517319,0.5591382754300954
oof_pxr_pharmacophore,0.7103179955342019,0.7006106576756342,0.5018916203508058,0.39946925644710796,0.5673045906619572,0.6634504151846827
oof_multi_fp_ensemble,0.7108685674508652,0.7101560778084802,0.5256021333077111,0.3610772076474439,0.5677443119949044,0.5699754881311417
oof_stochastic_ensemble,0.7114546878604595,0.7120338810438043,0.5129422146063561,0.41681590551874226,0.5682124245883259,0.5986049514606581
