iter	Passed	Remaining
1481	112156	39201
1482	112221	39122
1483	112292	39045
1484	112374	38971
1485	112446	38894
1486	112518	38817
1487	112580	38737
1488	112657	38662
1489	112718	38581
1490	112791	38504
1491	112857	38425
1492	112930	38349
1493	113001	38272
1494	113073	38195
1495	113144	38118
1496	113230	38045
1497	113306	37970
1498	113384	37895
1499	113449	37816
1500	113530	37742
1501	113597	37664
1502	113677	37589
1503	113751	37513
1504	113836	37441
1505	113898	37361
1506	113972	37284
1507	114041	37207
1508	114139	37138
1509	114209	37061
1510	114283	36985
1511	114360	36909
1512	114447	36838
1513	114516	36760
1514	114588	36683
1515	114670	36609
1516	114764	36539
1517	114826	36460
1518	114895	36382
1519	114972	36307
1520	115054	36233
1521	115134	36159
1522	115209	36083
1523	115280	36006
1524	115370	35935
1525	115454	35861
1526	115524	35784
1527	115604	35710
1528	115690	35637
1529	115758	35559
1530	115833	35483
1531	115900	35405
1532	115986	35333
1533	116065	35258
1534	116140	35182
1535	116214	35106
1536	116302	35034
1537	116377	34958
1538	116458	34884
1539	116533	34808
1540	116613	34734
1541	116684	34657
1542	116752	34579
1543	116826	34503
1544	116911	34430
1545	116983	34353
1546	117063	34279
1547	117133	34201
1548	117217	34128
1549	117295	34053
1550	117374	33978
1551	117450	33903
1552	117532	33829
1553	117602	33751
1554	117670	33674
1555	117742	33597
1556	117826	33524
1557	117901	33448
1558	117977	33372
1559	118055	33297
1560	118135	33223
1561	118211	33147
1562	118282	33070
1563	118361	32995
1564	118453	32924
1565	118517	32845
1566	118593	32770
1567	118669	32694
1568	118758	32622
1569	118829	32545
1570	118904	32469
1571	118973	32392
1572	119063	32320
1573	119132	32242
1574	119202	32165
1575	119276	32089
1576	119372	32019
1577	119452	31944
1578	119533	31870
1579	119607	31794
1580	119701	31723
1581	119772	31646
1582	119845	31570
1583	119917	31493
1584	119997	31418
1585	120074	31343
1586	120156	31269
1587	120234	31194
1588	120318	31120
1589	120390	31043
1590	120467	30968
1591	120530	30889
1592	120630	30820
1593	120706	30744
1594	120777	30667
1595	120849	30590
1596	120932	30517
1597	121003	30440
1598	121081	30365
1599	121160	30290
1600	121242	30215
1601	121319	30140
1602	121388	30063
1603	121455	29985
1604	121547	29913
1605	121619	29836
1606	121687	29759
1607	121762	29683
1608	121846	29609
1609	121911	29531
1610	121983	29454
1611	122060	29379
1612	122153	29307
1613	122228	29231
1614	122297	29154
1615	122369	29077
1616	122448	29003
1617	122515	28925
1618	122588	28848
1619	122663	28772
1620	122753	28700
1621	122836	28626
1622	122906	28549
1623	122976	28472
1624	123065	28399
1625	123135	28322
1626	123205	28245
1627	123274	28168
1628	123355	28093
1629	123433	28018
1630	123502	27941
1631	123578	27865
1632	123661	27791
1633	123733	27715
